pair_id,attr,left,right
0,names,"{""primary"":""Goin' Postal Jacksonville""}","{""primary"":""Goin' Postal Jacksonville""}"
0,categories,"{""primary"":""vehicle_shipping"",""alternate"":[""courier_and_delivery_services"",""mailbox_center"",""shipping_center"",""post_office"",""automotive""]}","{""primary"":""shipping_center"",""alternate"":[""freight_and_cargo_service"",""post_office""]}"
0,confidence,0.77,0.9962614185921548
0,websites,"[""https://www.goinpostaljacksonville.com/""]","[""http://www.goinpostaljacksonville.com/""]"
0,socials,,"[""https://www.facebook.com/463273470392736""]"
0,emails,,
0,phones,"[""9049989600""]","[""+19049989600""]"
0,brand,"{""names"":{}}",
0,addresses,"[{""freeform"":""7643 Gate Pkwy Ste 104"",""locality"":""Jacksonville"",""region"":""FL"",""country"":""US"",""postcode"":""32256""}]","[{""freeform"":""7643 Gate Pkwy"",""locality"":""Jacksonville"",""postcode"":""32256-2892"",""region"":""FL"",""country"":""US""}]"
1,names,"{""primary"":""Valley Transmission""}","{""primary"":""Valley Transmission""}"
1,categories,"{""primary"":""transmission_repair"",""alternate"":[""automotive""]}","{""primary"":""automotive_repair"",""alternate"":[""automotive"",""professional_services""]}"
1,confidence,0.77,0.9962614185921548
1,websites,"[""http://valleytransca.com/""]","[""http://valleytransca.com/""]"
1,socials,,"[""https://www.facebook.com/107150256087765""]"
1,emails,,
1,phones,"[""6194474353""]","[""+16194474353""]"
1,brand,"{""names"":{}}",
1,addresses,"[{""freeform"":""1158 N 2nd St"",""locality"":""El Cajon"",""region"":""CA"",""country"":""US"",""postcode"":""92021""}]","[{""freeform"":""1158 N 2nd St"",""locality"":""El Cajon"",""postcode"":""92021-5023"",""region"":""CA"",""country"":""US""}]"
2,names,"{""primary"":""Mazda Nelspruit""}","{""primary"":""Mazda Nelspruit""}"
2,categories,"{""primary"":""used_car_dealer"",""alternate"":[""automotive""]}","{""primary"":""car_dealer"",""alternate"":[""automotive"",""automotive_dealer""]}"
2,confidence,0.77,0.997898979043525
2,websites,"[""https://nelspruitmazda.co.za/""]","[""http://bit.ly/NelspruitMazda""]"
2,socials,,"[""https://www.facebook.com/113070635372645""]"
2,emails,,
2,phones,"[""0137573800""]","[""+27137573800""]"
2,brand,"{""names"":{}}",
